epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,33.4168,0.93353,2.22581,1.34973,0.82568,0.65,0.91253,0.63304,1.63292,1.1053,1.3361,1.60241e-05,1.60241e-05,1.60241e-05
18,35.3656,1.14843,2.48752,1.46635,0.82568,0.65,0.91253,0.63304,1.63292,1.1053,1.3361,1.68253e-05,1.68253e-05,1.68253e-05
19,37.3892,1.05771,1.51444,1.27482,0.81319,0.65,0.91247,0.62528,1.63189,1.13599,1.33744,1.7603e-05,1.7603e-05,1.7603e-05
20,39.3291,1.00662,1.50791,1.28616,0.81319,0.65,0.91247,0.62528,1.63189,1.13599,1.33744,1.83571e-05,1.83571e-05,1.83571e-05
21,41.3405,1.16382,3.1794,1.50471,0.82473,0.65,0.91063,0.62685,1.64864,1.15329,1.34516,1.90876e-05,1.90876e-05,1.90876e-05
22,43.2994,0.97726,1.77299,1.49672,0.82473,0.65,0.91063,0.62685,1.64864,1.15329,1.34516,1.97946e-05,1.97946e-05,1.97946e-05
23,45.3122,1.04375,2.01542,1.30425,0.82477,0.65,0.8548,0.61224,1.66772,1.20271,1.36259,2.0478e-05,2.0478e-05,2.0478e-05
24,47.202,1.05492,1.65342,1.38154,0.82477,0.65,0.8548,0.61224,1.66772,1.20271,1.36259,2.11379e-05,2.11379e-05,2.11379e-05
25,49.3006,0.88724,1.98478,1.25244,0.82852,0.65,0.85537,0.59995,1.69361,1.23857,1.37786,2.17741e-05,2.17741e-05,2.17741e-05
26,51.324,0.96223,1.59973,1.39831,0.82852,0.65,0.85537,0.59995,1.69361,1.23857,1.37786,2.23869e-05,2.23869e-05,2.23869e-05
27,53.3315,0.89084,1.54265,1.23939,0.8273,0.65,0.855,0.59977,1.68326,1.25747,1.37781,2.2976e-05,2.2976e-05,2.2976e-05
28,55.2514,0.86495,1.50981,1.22501,0.8273,0.65,0.855,0.59977,1.68326,1.25747,1.37781,2.35417e-05,2.35417e-05,2.35417e-05
29,57.2074,1.21704,1.75655,1.42252,0.80089,0.65,0.85192,0.59888,1.67248,1.2919,1.37863,2.40837e-05,2.40837e-05,2.40837e-05
30,59.1448,0.78652,1.37457,1.14087,0.80089,0.65,0.85192,0.59888,1.67248,1.2919,1.37863,2.46022e-05,2.46022e-05,2.46022e-05
31,61.0774,0.86375,1.45192,1.26586,0.79424,0.65,0.77445,0.52311,1.6708,1.33898,1.37752,2.50971e-05,2.50971e-05,2.50971e-05
32,62.9866,0.98416,1.37583,1.26718,0.79424,0.65,0.77445,0.52311,1.6708,1.33898,1.37752,2.55685e-05,2.55685e-05,2.55685e-05
33,65.036,0.84532,1.5561,1.31361,0.78055,0.65,0.76681,0.52374,1.64006,1.357,1.36203,2.60163e-05,2.60163e-05,2.60163e-05
34,67.2445,0.7734,1.42924,1.2396,0.78055,0.65,0.76681,0.52374,1.64006,1.357,1.36203,2.64405e-05,2.64405e-05,2.64405e-05
35,69.3012,0.89913,1.48863,1.19398,0.78426,0.65,0.76668,0.52373,1.65711,1.41104,1.37307,2.68412e-05,2.68412e-05,2.68412e-05
36,71.3264,0.78135,1.42892,1.1607,0.78426,0.65,0.76668,0.52373,1.65711,1.41104,1.37307,2.72183e-05,2.72183e-05,2.72183e-05
37,73.4036,0.91379,1.35983,1.35795,0.76966,0.65,0.73601,0.49923,1.66347,1.45234,1.38463,2.75718e-05,2.75718e-05,2.75718e-05
38,75.467,1.00263,1.70241,1.33876,0.76966,0.65,0.73601,0.49923,1.66347,1.45234,1.38463,2.79018e-05,2.79018e-05,2.79018e-05
39,78.0951,1.00587,2.11723,1.41702,0.65605,0.68714,0.70918,0.47302,1.68856,1.54123,1.39412,2.82082e-05,2.82082e-05,2.82082e-05
40,80.0165,1.03996,1.13896,1.45008,0.65605,0.68714,0.70918,0.47302,1.68856,1.54123,1.39412,2.84911e-05,2.84911e-05,2.84911e-05
41,82.1111,0.78846,1.22744,1.15312,0.64939,0.7,0.69962,0.48196,1.68958,1.59589,1.39338,2.87504e-05,2.87504e-05,2.87504e-05
42,83.9985,0.91434,1.29297,1.29821,0.64939,0.7,0.69962,0.48196,1.68958,1.59589,1.39338,2.89861e-05,2.89861e-05,2.89861e-05
43,85.8898,0.52485,2.46273,1.10705,0.56965,0.51663,0.58479,0.36817,1.70354,1.66635,1.3942,2.91983e-05,2.91983e-05,2.91983e-05
44,87.6739,0.92178,1.06011,1.27046,0.56965,0.51663,0.58479,0.36817,1.70354,1.66635,1.3942,2.93869e-05,2.93869e-05,2.93869e-05
45,89.5787,0.65359,0.89381,1.15727,0.59495,0.48333,0.52793,0.30225,1.70834,1.73653,1.3977,2.9552e-05,2.9552e-05,2.9552e-05
46,91.463,0.94098,1.26106,1.43833,0.59495,0.48333,0.52793,0.30225,1.70834,1.73653,1.3977,2.96935e-05,2.96935e-05,2.96935e-05
47,93.468,0.84398,0.85244,1.12212,0.58411,0.48333,0.52732,0.31113,1.72333,1.75465,1.41227,2.98114e-05,2.98114e-05,2.98114e-05
48,95.3446,0.734,1.07137,1.13224,0.58411,0.48333,0.52732,0.31113,1.72333,1.75465,1.41227,2.99058e-05,2.99058e-05,2.99058e-05
49,97.2446,0.92376,1.15889,1.2621,0.60001,0.49809,0.52473,0.30817,1.74647,1.81863,1.42313,2.99766e-05,2.99766e-05,2.99766e-05
50,99.0842,0.83631,0.91214,1.18218,0.60001,0.49809,0.52473,0.30817,1.74647,1.81863,1.42313,3.00238e-05,3.00238e-05,3.00238e-05
51,101.048,0.77722,1.05854,1.1605,0.60069,0.49827,0.52521,0.30722,1.76032,1.86035,1.42833,3.00475e-05,3.00475e-05,3.00475e-05
52,102.931,0.82831,0.89864,1.17308,0.60069,0.49827,0.52521,0.30722,1.76032,1.86035,1.42833,3.00476e-05,3.00476e-05,3.00476e-05
53,104.793,0.65786,0.78358,1.18664,0.60069,0.49827,0.52521,0.30722,1.76032,1.86035,1.42833,3.00242e-05,3.00242e-05,3.00242e-05
54,106.877,0.8408,1.17177,1.24041,0.76748,0.49999,0.5251,0.30909,1.7629,1.90683,1.4365,2.99772e-05,2.99772e-05,2.99772e-05
55,108.881,0.89697,0.78549,1.18889,0.76748,0.49999,0.5251,0.30909,1.7629,1.90683,1.4365,2.99066e-05,2.99066e-05,2.99066e-05
56,110.718,0.79865,1.03596,1.14065,0.76748,0.49999,0.5251,0.30909,1.7629,1.90683,1.4365,2.98125e-05,2.98125e-05,2.98125e-05
57,112.632,0.63251,0.85289,1.06506,0.75595,0.5,0.52018,0.30556,1.75379,1.91658,1.4254,2.96948e-05,2.96948e-05,2.96948e-05
58,114.503,0.69723,0.72329,1.14511,0.75595,0.5,0.52018,0.30556,1.75379,1.91658,1.4254,2.95535e-05,2.95535e-05,2.95535e-05
59,116.381,0.83267,0.97992,1.24073,0.75595,0.5,0.52018,0.30556,1.75379,1.91658,1.4254,2.93887e-05,2.93887e-05,2.93887e-05
60,118.422,1.01645,1.11817,1.41823,0.7555,0.5,0.51769,0.30528,1.78405,1.95953,1.43936,2.92003e-05,2.92003e-05,2.92003e-05
61,120.493,0.62974,0.80289,1.09156,0.7555,0.5,0.51769,0.30528,1.78405,1.95953,1.43936,2.89884e-05,2.89884e-05,2.89884e-05
62,122.426,0.66118,0.72112,1.1262,0.7555,0.5,0.51769,0.30528,1.78405,1.95953,1.43936,2.87529e-05,2.87529e-05,2.87529e-05
63,124.407,1.35601,1.70047,1.77462,0.76427,0.5,0.52118,0.30303,1.75925,2.0112,1.43531,2.84938e-05,2.84938e-05,2.84938e-05
64,126.262,0.79377,0.93347,1.14729,0.76427,0.5,0.52118,0.30303,1.75925,2.0112,1.43531,2.82112e-05,2.82112e-05,2.82112e-05
65,128.072,0.86568,0.72436,1.15139,0.76427,0.5,0.52118,0.30303,1.75925,2.0112,1.43531,2.7905e-05,2.7905e-05,2.7905e-05
66,129.966,0.70327,0.68764,1.15632,0.75597,0.5,0.51892,0.30156,1.80085,2.03884,1.44926,2.75753e-05,2.75753e-05,2.75753e-05
67,131.958,0.68053,0.59722,1.04353,0.75597,0.5,0.51892,0.30156,1.80085,2.03884,1.44926,2.7222e-05,2.7222e-05,2.7222e-05
68,133.938,0.89755,1.02865,1.24468,0.75597,0.5,0.51892,0.30156,1.80085,2.03884,1.44926,2.68451e-05,2.68451e-05,2.68451e-05
69,135.95,0.73414,0.71688,1.15089,0.77088,0.5,0.51847,0.29803,1.80973,2.09325,1.45767,2.64447e-05,2.64447e-05,2.64447e-05
70,137.92,1.08034,1.25768,1.47946,0.77088,0.5,0.51847,0.29803,1.80973,2.09325,1.45767,2.60207e-05,2.60207e-05,2.60207e-05
71,139.924,0.62947,0.66891,1.02456,0.77088,0.5,0.51847,0.29803,1.80973,2.09325,1.45767,2.55731e-05,2.55731e-05,2.55731e-05
72,141.936,0.80623,0.60843,1.03917,0.69539,0.45335,0.47462,0.29764,1.81645,2.17351,1.4593,2.5102e-05,2.5102e-05,2.5102e-05
73,144.016,0.73582,0.84549,1.14013,0.69539,0.45335,0.47462,0.29764,1.81645,2.17351,1.4593,2.46073e-05,2.46073e-05,2.46073e-05
74,145.859,0.7809,0.75946,1.16168,0.69539,0.45335,0.47462,0.29764,1.81645,2.17351,1.4593,2.40891e-05,2.40891e-05,2.40891e-05
75,147.759,0.87961,0.74832,1.33443,0.69982,0.45269,0.47547,0.29212,1.86219,2.30789,1.51281,2.35472e-05,2.35472e-05,2.35472e-05
76,149.55,0.69979,0.6761,1.08261,0.69982,0.45269,0.47547,0.29212,1.86219,2.30789,1.51281,2.29819e-05,2.29819e-05,2.29819e-05
77,151.339,0.68443,0.67453,1.13206,0.69982,0.45269,0.47547,0.29212,1.86219,2.30789,1.51281,2.23929e-05,2.23929e-05,2.23929e-05
78,153.722,0.89188,1.07473,1.26271,0.89751,0.37228,0.46064,0.28549,1.88145,2.26528,1.53371,2.17805e-05,2.17805e-05,2.17805e-05
79,155.927,0.6634,0.67349,1.04754,0.89751,0.37228,0.46064,0.28549,1.88145,2.26528,1.53371,2.11444e-05,2.11444e-05,2.11444e-05
80,157.793,0.63434,0.58698,0.98827,0.89751,0.37228,0.46064,0.28549,1.88145,2.26528,1.53371,2.04848e-05,2.04848e-05,2.04848e-05
81,159.768,0.69889,0.87723,1.21518,0.87485,0.38333,0.46128,0.28999,1.86778,2.25298,1.52044,1.98016e-05,1.98016e-05,1.98016e-05
82,161.591,0.62571,0.50994,1.08704,0.87485,0.38333,0.46128,0.28999,1.86778,2.25298,1.52044,1.90949e-05,1.90949e-05,1.90949e-05
83,163.349,0.72871,0.86956,1.13488,0.87485,0.38333,0.46128,0.28999,1.86778,2.25298,1.52044,1.83646e-05,1.83646e-05,1.83646e-05
84,165.18,0.5006,0.54511,1.01354,0.89893,0.3716,0.45875,0.28502,1.86105,2.17696,1.51131,1.76107e-05,1.76107e-05,1.76107e-05
85,167.083,0.68267,0.82995,1.07403,0.89893,0.3716,0.45875,0.28502,1.86105,2.17696,1.51131,1.68333e-05,1.68333e-05,1.68333e-05
86,169.081,0.9208,0.95456,1.43158,0.89893,0.3716,0.45875,0.28502,1.86105,2.17696,1.51131,1.60323e-05,1.60323e-05,1.60323e-05
87,170.928,0.88844,0.93979,1.26172,0.89893,0.3716,0.45875,0.28502,1.86105,2.17696,1.51131,1.52077e-05,1.52077e-05,1.52077e-05
88,172.851,0.79143,0.61614,1.24298,0.90058,0.37108,0.45641,0.28497,1.87296,2.17832,1.51027,1.43596e-05,1.43596e-05,1.43596e-05
89,175.054,0.85646,0.86972,1.21169,0.90058,0.37108,0.45641,0.28497,1.87296,2.17832,1.51027,1.34879e-05,1.34879e-05,1.34879e-05
90,176.889,0.70587,0.7948,1.04947,0.90058,0.37108,0.45641,0.28497,1.87296,2.17832,1.51027,1.25927e-05,1.25927e-05,1.25927e-05
91,178.886,0.54615,0.59237,1.14164,0.90058,0.37108,0.45641,0.28497,1.87296,2.17832,1.51027,1.16739e-05,1.16739e-05,1.16739e-05
92,180.915,0.4615,0.43634,0.86797,0.79132,0.5,0.5115,0.29478,1.86011,2.27005,1.52048,1.07315e-05,1.07315e-05,1.07315e-05
93,182.939,0.64009,0.55067,1.25059,0.79132,0.5,0.5115,0.29478,1.86011,2.27005,1.52048,9.76562e-06,9.76562e-06,9.76562e-06
94,184.793,0.62087,0.49761,1.02029,0.79132,0.5,0.5115,0.29478,1.86011,2.27005,1.52048,8.77613e-06,8.77613e-06,8.77613e-06
95,186.753,0.75743,0.68037,1.26777,0.79132,0.5,0.5115,0.29478,1.86011,2.27005,1.52048,7.76308e-06,7.76308e-06,7.76308e-06
96,188.823,0.56944,0.58379,1.05183,0.79181,0.5,0.51599,0.28921,1.82926,2.27989,1.51158,6.72648e-06,6.72648e-06,6.72648e-06
97,190.788,0.47352,0.50568,0.93865,0.79181,0.5,0.51599,0.28921,1.82926,2.27989,1.51158,5.6663e-06,5.6663e-06,5.6663e-06
98,192.682,0.63152,0.55913,1.13865,0.79181,0.5,0.51599,0.28921,1.82926,2.27989,1.51158,4.58257e-06,4.58257e-06,4.58257e-06
99,194.517,0.48055,0.42163,0.89012,0.79181,0.5,0.51599,0.28921,1.82926,2.27989,1.51158,3.47528e-06,3.47528e-06,3.47528e-06
100,196.463,0.49772,0.45517,0.9363,0.78259,0.5,0.50798,0.28755,1.77122,2.22965,1.46643,2.34442e-06,2.34442e-06,2.34442e-06
